video_id,fps
L21_V001,30
L21_V002,30
L21_V003,25
L21_V005,30
L21_V006,30
L21_V007,30
L21_V008,25
L21_V009,25
L21_V010,25
L21_V011,25
L21_V012,30
L21_V013,30
L21_V014,30
L21_V015,30
L21_V016,30
L21_V017,25
L21_V018,25
L21_V019,30
L21_V021,30
L21_V022,30
L21_V023,30
L21_V024,25
L21_V025,25
L21_V026,30
L21_V027,30
L21_V028,30
L21_V029,30
L21_V030,30
L21_V031,25
L22_V001,30
L22_V002,25
L22_V003,25
L22_V004,30
L22_V005,30
L22_V006,30
L22_V007,25
L22_V008,25
L22_V009,25
L22_V010,25
L22_V011,30
L22_V012,30
L22_V013,30
L22_V014,30
L22_V015,30
L22_V016,25
L22_V017,25
L22_V018,30
L22_V019,30
L22_V020,30
L22_V021,30
L22_V022,30
L22_V023,25
L22_V024,25
L22_V025,30
L22_V026,30
L22_V027,30
L22_V028,30
L22_V029,30
L22_V030,25
L22_V031,25
L23_V001,25
L23_V002,25
L23_V003,25
L23_V004,25
L23_V005,25
L23_V006,25
L23_V007,25
L23_V008,25
L23_V009,25
L23_V010,25
L23_V011,25
L23_V012,25
L23_V013,25
L23_V014,25
L23_V015,25
L23_V016,25
L23_V017,25
L23_V018,25
L23_V019,25
L23_V020,25
L23_V021,25
L23_V022,25
L23_V023,25
L23_V024,25
L23_V025,25
L24_V002,25
L24_V003,25
L24_V004,25
L24_V005,25
L24_V006,25
L24_V007,25
L24_V008,25
L24_V009,25
L24_V010,25
L24_V011,25
L24_V012,25
L24_V013,25
L24_V014,25
L24_V015,25
L24_V016,25
L24_V017,30
L24_V018,25
L24_V019,30
L24_V020,30
L24_V021,30
L24_V022,30
L24_V023,30
L24_V024,30
L24_V025,30
L24_V026,25
L24_V027,30
L24_V028,30
L24_V029,30
L24_V030,30
L24_V031,30
L24_V032,25
L24_V033,30
L24_V035,30
L24_V036,30
L24_V037,30
L24_V038,30
L24_V039,30
L24_V040,30
L24_V041,30
L24_V042,30
L24_V043,25
L24_V044,26.44
L24_V045,30
L25_V001,25
L25_V002,25
L25_V003,25
L25_V004,29.97
L25_V005,29.97
L25_V006,25
L25_V007,25
L25_V008,29.97
L25_V009,25
L25_V010,25
L25_V011,25
L25_V012,25
L25_V013,29.97
L25_V014,29.97
L25_V015,25
L25_V016,25
L25_V017,29.97
L25_V018,25
L25_V019,25
L25_V020,25
L25_V021,29.97
L25_V022,29.97
L25_V023,25
L25_V024,25
L25_V025,29.97
L25_V026,25
L25_V027,25
L25_V028,25
L25_V029,25
L25_V030,29.97
L25_V031,29.97
L25_V032,25
L25_V033,25
L25_V034,29.97
L25_V035,25
L25_V036,25
L25_V037,25
L25_V038,25
L25_V039,29.97
L25_V040,29.97
L25_V041,25
L25_V042,25
L25_V043,29.97
L25_V044,25
L25_V045,25
L25_V046,25
L25_V047,25
L25_V048,29.97
L25_V049,29.97
L25_V050,25
L25_V051,25
L25_V052,29.97
L25_V053,25
L25_V054,25
L25_V055,25
L25_V056,25
L25_V057,29.97
L25_V058,29.97
L25_V059,25
L25_V060,25
L25_V061,29.97
L25_V062,25
L25_V063,25
L25_V064,25
L25_V065,25
L25_V066,29.97
L25_V067,29.97
L25_V068,25
L25_V069,25
L25_V070,29.97
L25_V071,25
L25_V072,25
L25_V073,25
L25_V074,29.97
L25_V075,25
L25_V076,25
L25_V077,29.97
L25_V078,29.97
L25_V079,25
L25_V080,25
L25_V081,25
L25_V082,25
L25_V083,25
L25_V084,29.97
L25_V085,29.97
L25_V086,25
L25_V087,25
L25_V088,29.97
L26_V001,25
L26_V002,25
L26_V003,25
L26_V004,25
L26_V005,25
L26_V006,25
L26_V007,25
L26_V008,25
L26_V009,25
L26_V010,25
L26_V011,25
L26_V012,25
L26_V013,25
L26_V014,25
L26_V015,25
L26_V016,25
L26_V017,25
L26_V018,25
L26_V019,25
L26_V020,25
L26_V021,25
L26_V022,25
L26_V023,25
L26_V024,25
L26_V025,25
L26_V026,25
L26_V027,25
L26_V028,25
L26_V029,25
L26_V030,25
L26_V031,25
L26_V032,25
L26_V033,25
L26_V034,25
L26_V035,25
L26_V036,25
L26_V037,25
L26_V038,25
L26_V039,25
L26_V040,25
L26_V041,25
L26_V042,25
L26_V043,25
L26_V044,25
L26_V045,25
L26_V046,25
L26_V047,25
L26_V048,25
L26_V049,25
L26_V050,25
L26_V051,25
L26_V052,25
L26_V053,25
L26_V054,25
L26_V055,25
L26_V056,25
L26_V057,25
L26_V058,25
L26_V059,25
L26_V060,25
L26_V061,25
L26_V062,25
L26_V063,25
L26_V064,25
L26_V065,25
L26_V066,25
L26_V067,25
L26_V068,25
L26_V069,25
L26_V070,25
L26_V071,25
L26_V072,25
L26_V073,25
L26_V074,25
L26_V075,25
L26_V076,25
L26_V077,25
L26_V078,25
L26_V079,25
L26_V080,25
L26_V081,25
L26_V082,25
L26_V083,25
L26_V084,25
L26_V085,25
L26_V086,25
L26_V087,25
L26_V088,25
L26_V089,25
L26_V090,25
L26_V091,25
L26_V092,25
L26_V093,25
L26_V094,25
L26_V095,25
L26_V096,25
L26_V097,25
L26_V098,25
L26_V099,25
L26_V100,25
L26_V102,25
L26_V103,25
L26_V104,25
L26_V105,25
L26_V106,25
L26_V107,25
L26_V108,25
L26_V109,25
L26_V110,25
L26_V111,25
L26_V112,25
L26_V113,25
L26_V114,25
L26_V115,25
L26_V116,25
L26_V117,25
L26_V118,25
L26_V119,25
L26_V120,25
L26_V121,25
L26_V122,25
L26_V123,25
L26_V124,25
L26_V125,25
L26_V126,25
L26_V127,25
L26_V128,25
L26_V129,25
L26_V130,25
L26_V131,25
L26_V132,25
L26_V133,25
L26_V134,25
L26_V135,25
L26_V136,25
L26_V137,25
L26_V138,25
L26_V139,25
L26_V140,25
L26_V141,25
L26_V142,25
L26_V143,25
L26_V144,25
L26_V145,25
L26_V146,25
L26_V147,25
L26_V148,25
L26_V149,25
L26_V150,25
L26_V151,25
L26_V152,25
L26_V153,25
L26_V154,25
L26_V155,25
L26_V156,25
L26_V157,25
L26_V158,25
L26_V159,25
L26_V160,25
L26_V161,25
L26_V162,25
L26_V163,25
L26_V164,25
L26_V165,25
L26_V166,25
L26_V167,25
L26_V168,25
L26_V169,25
L26_V170,25
L26_V171,25
L26_V172,25
L26_V173,25
L26_V174,25
L26_V175,25
L26_V176,25
L26_V177,25
L26_V178,25
L26_V179,25
L26_V180,25
L26_V181,25
L26_V182,25
L26_V183,25
L26_V184,25
L26_V185,25
L26_V186,25
L26_V187,25
L26_V188,25
L26_V189,25
L26_V190,25
L26_V191,25
L26_V192,25
L26_V193,25
L26_V194,25
L26_V195,25
L26_V196,25
L26_V197,25
L26_V198,25
L26_V199,25
L26_V200,25
L26_V201,25
L26_V202,25
L26_V203,25
L26_V204,25
L26_V205,25
L26_V206,25
L26_V207,25
L26_V209,25
L26_V210,25
L26_V211,25
L26_V212,25
L26_V213,25
L26_V214,25
L26_V215,25
L26_V216,25
L26_V217,25
L26_V218,25
L26_V219,25
L26_V220,25
L26_V221,25
L26_V222,25
L26_V223,25
L26_V224,25
L26_V225,25
L26_V226,25
L26_V227,25
L26_V228,25
L26_V229,25
L26_V230,25
L26_V231,25
L26_V232,25
L26_V233,25
L26_V234,25
L26_V235,25
L26_V236,25
L26_V237,25
L26_V238,25
L26_V239,25
L26_V240,25
L26_V241,25
L26_V242,25
L26_V243,25
L26_V244,25
L26_V245,25
L26_V246,25
L26_V247,25
L26_V248,25
L26_V249,25
L26_V250,25
L26_V251,25
L26_V252,25
L26_V253,25
L26_V254,25
L26_V255,25
L26_V256,25
L26_V257,25
L26_V258,25
